,time,id,class,region1x,region1y,region2x,region2y
0,3,1,bus,344,473,721,800
1,3,2,car,892,579,1022,682
2,4,1,bus,351,474,723,797
3,4,2,car,893,577,1020,678
4,5,1,bus,354,472,728,797
5,5,2,car,896,578,1016,673
6,6,1,bus,362,475,728,793
7,6,2,car,901,585,1009,669
8,7,1,bus,365,474,728,791
9,7,2,car,903,586,1004,666
10,8,1,bus,373,477,734,791
11,8,2,car,905,576,1009,657
12,9,1,bus,382,479,734,785
13,9,2,car,906,575,1008,653
14,10,1,bus,388,480,740,786
15,10,2,car,904,570,1010,652
16,11,1,bus,395,480,743,785
17,11,2,car,909,569,1011,648
18,12,1,bus,403,481,745,781
19,12,2,car,908,568,1007,644
20,12,6,bus,406,483,739,778
21,13,1,bus,407,482,744,777
22,13,2,car,914,570,1006,641
23,13,6,bus,409,483,738,775
24,14,1,bus,412,480,745,772
25,14,2,car,914,567,1009,640
26,14,6,bus,412,483,738,772
27,15,1,bus,418,483,744,769
28,15,2,car,914,569,1003,636
29,16,1,bus,423,483,745,766
30,16,2,car,913,566,1001,633
31,17,1,bus,426,484,745,764
32,17,2,car,914,566,998,630
33,18,1,bus,432,484,751,764
34,18,2,car,915,566,997,627
35,18,6,bus,431,483,754,770
36,19,1,bus,437,485,754,764
37,19,2,car,916,567,996,626
38,19,6,bus,435,483,756,770
39,20,1,bus,442,486,756,762
40,20,2,car,917,567,994,625
41,20,6,bus,438,484,757,770
42,21,2,car,918,567,993,622
43,21,6,bus,444,486,752,760
44,22,1,bus,448,489,753,755
45,22,2,car,920,566,992,620
46,22,6,bus,446,486,755,762
47,23,1,bus,450,489,755,755
48,23,2,car,920,566,991,618
49,23,6,bus,450,487,756,760
50,24,1,bus,455,488,760,755
51,24,2,car,921,565,991,617
52,24,7,car,1662,689,1888,1080
53,25,1,bus,458,486,763,754
54,25,2,car,922,565,990,615
55,25,7,car,1623,664,1868,1080
56,26,1,bus,463,486,764,752
57,26,2,car,922,565,991,614
58,26,7,car,1588,638,1854,1080
59,27,1,bus,463,484,766,754
60,27,2,car,923,564,990,612
61,27,7,car,1560,626,1843,1080
62,28,1,bus,469,484,770,755
63,28,2,car,923,563,990,610
64,28,6,bus,470,485,770,755
65,28,7,car,1537,623,1832,1080
66,29,1,bus,476,485,773,754
67,29,2,car,924,563,988,608
68,29,6,bus,477,485,772,754
69,29,7,car,1512,617,1824,1079
70,30,1,bus,485,488,770,747
71,30,2,car,924,563,988,607
72,30,6,bus,483,485,774,753
73,30,7,car,1488,612,1817,1075
74,31,1,bus,489,488,772,746
75,31,2,car,923,561,989,607
76,31,6,bus,490,485,775,750
77,31,7,car,1468,606,1803,1049
78,32,2,car,923,560,990,606
79,32,6,bus,495,486,776,749
80,32,7,car,1458,605,1799,1028
81,33,2,car,923,560,990,606
82,33,6,bus,500,488,777,749
83,33,7,car,1454,606,1789,991
84,34,2,car,928,561,992,605
85,34,6,bus,504,488,779,749
86,34,7,car,1427,601,1761,961
87,35,2,car,931,562,992,604
88,35,6,bus,510,488,782,747
89,35,7,car,1394,596,1729,935
90,36,1,bus,515,494,779,736
91,36,2,car,930,557,996,603
92,36,6,bus,515,487,784,746
93,36,7,car,1359,589,1698,918
94,37,1,bus,519,495,781,734
95,37,2,car,931,556,994,601
96,37,6,bus,520,488,784,743
97,37,7,car,1331,580,1668,898
98,38,1,bus,520,488,788,736
99,38,2,car,933,558,993,599
100,38,6,bus,525,487,784,739
101,38,7,car,1310,584,1630,873
102,39,1,bus,524,488,791,735
103,39,2,car,932,557,992,599
104,39,6,bus,527,486,785,737
105,39,7,car,1290,584,1599,854
106,40,1,bus,527,493,785,732
107,40,2,car,934,559,990,597
108,40,6,bus,529,487,785,738
109,40,7,car,1272,586,1570,839
110,41,1,bus,532,494,785,728
111,41,2,car,933,558,989,596
112,41,6,bus,533,487,786,737
113,41,7,car,1259,586,1542,822
114,42,1,bus,528,488,791,736
115,42,2,car,934,558,988,595
116,42,6,bus,533,485,787,739
117,42,7,car,1245,587,1517,808
118,43,1,bus,533,491,787,732
119,43,2,car,933,557,988,594
120,43,6,bus,536,487,787,738
121,43,7,car,1232,585,1497,796
122,44,1,bus,536,492,789,731
123,44,2,car,933,557,988,593
124,44,6,bus,538,488,786,737
125,44,7,car,1219,582,1478,785
126,45,2,car,931,557,985,593
127,45,6,bus,541,489,786,737
128,45,7,car,1206,579,1460,775
129,46,2,car,932,559,984,593
130,46,6,bus,545,492,784,735
131,46,7,car,1196,580,1440,764
132,47,2,car,933,559,983,592
133,47,6,bus,548,492,786,736
134,47,7,car,1182,580,1428,761
135,48,2,car,932,559,981,591
136,48,6,bus,550,491,787,734
137,48,7,car,1173,578,1416,755
138,49,2,car,931,559,980,591
139,49,6,bus,553,492,785,730
140,49,7,car,1165,577,1408,753
141,50,2,car,931,558,981,591
142,50,6,bus,556,493,784,727
143,50,7,car,1156,575,1390,743
144,51,2,car,931,558,979,590
145,51,6,bus,560,495,784,724
146,51,7,car,1150,574,1377,737
147,52,2,car,930,556,980,590
148,52,6,bus,561,495,783,721
149,52,7,car,1150,574,1363,727
150,53,2,car,930,556,979,589
151,53,6,bus,561,494,784,721
152,53,7,car,1137,571,1359,732
153,54,2,car,929,555,978,589
154,54,6,bus,564,495,785,720
155,54,7,car,1131,571,1345,726
156,55,2,car,929,554,978,588
157,55,6,bus,564,494,787,721
158,55,7,car,1128,569,1333,718
159,56,2,car,929,554,977,587
160,56,6,bus,571,500,786,716
161,56,7,car,1123,568,1323,713
162,57,2,car,930,554,977,587
163,57,6,bus,571,497,790,718
164,57,7,car,1119,567,1314,709
165,58,2,car,929,553,977,587
166,58,6,bus,572,496,792,717
167,58,7,car,1117,567,1305,704
168,59,1,bus,587,510,794,702
169,59,2,car,933,555,977,586
170,59,6,bus,575,496,794,716
171,59,7,car,1114,567,1297,700
172,60,1,bus,586,514,793,701
173,60,2,car,933,554,978,586
174,60,6,bus,577,497,794,714
175,60,7,car,1112,566,1291,696
176,61,1,bus,589,515,793,699
177,61,2,car,933,554,978,586
178,61,6,bus,580,499,795,713
