,time,id,class,region1x,region1y,region2x,region2y
0,3,1,bus,344,473,720,799
1,3,2,car,892,579,1022,682
2,4,1,bus,351,474,723,797
3,4,2,car,893,577,1020,678
4,5,1,bus,354,472,728,797
5,5,2,car,896,578,1016,673
6,6,1,bus,362,474,729,793
7,6,2,car,895,574,1014,667
8,7,1,bus,366,474,728,789
9,7,2,car,914,575,1027,662
10,8,1,bus,372,476,730,788
11,8,2,car,939,576,1048,657
12,9,1,bus,381,479,733,786
13,9,2,car,966,576,1072,654
14,10,1,bus,389,480,738,786
15,10,2,car,988,575,1095,652
16,11,1,bus,394,481,742,786
17,11,2,car,1012,575,1116,649
18,12,1,bus,405,484,741,778
19,12,2,car,1032,574,1135,646
20,13,1,bus,408,484,740,775
21,13,2,car,1055,573,1157,643
22,14,1,bus,412,481,743,772
23,14,2,car,1072,572,1173,642
24,15,1,bus,419,483,743,768
25,15,2,car,1073,570,1174,640
26,16,1,bus,424,484,744,765
27,16,2,car,1070,569,1170,638
28,17,1,bus,427,484,744,764
29,17,2,car,1070,571,1164,635
30,18,1,bus,433,485,750,764
31,18,2,car,1067,570,1154,630
32,19,1,bus,437,485,753,764
33,19,2,car,1064,570,1148,628
34,20,1,bus,440,486,755,763
35,20,2,car,1059,569,1142,627
36,21,1,bus,443,486,753,757
37,21,2,car,1056,570,1136,625
38,22,1,bus,447,488,753,755
39,22,2,car,1051,568,1132,624
40,23,1,bus,450,489,755,754
41,23,2,car,1050,568,1128,621
42,24,1,bus,454,487,761,754
43,24,2,car,1048,567,1124,619
44,25,1,bus,457,485,764,755
45,25,2,car,1046,566,1120,617
46,26,1,bus,463,486,765,753
47,26,2,car,1046,567,1118,616
48,27,1,bus,467,487,764,750
49,27,2,car,1045,566,1115,614
50,28,1,bus,470,485,771,753
51,28,2,car,1043,566,1113,615
52,29,1,bus,476,486,773,754
53,29,2,car,1039,565,1110,613
54,29,8,truck,482,486,766,755
55,30,1,bus,481,484,776,752
56,30,2,car,1038,563,1108,611
57,30,8,truck,487,484,770,752
58,31,1,bus,485,484,779,751
59,31,2,car,1037,562,1107,609
60,31,8,truck,494,485,771,748
61,32,2,car,1037,561,1105,608
62,32,8,truck,498,487,773,748
63,33,2,car,1033,562,1100,608
64,33,8,truck,503,489,775,749
65,34,2,car,1032,563,1098,608
66,34,8,truck,506,489,778,748
67,35,2,car,1032,563,1096,607
68,35,8,truck,512,489,780,746
69,36,1,bus,510,487,789,744
70,36,2,car,1030,562,1094,606
71,36,8,truck,516,488,783,744
72,37,1,bus,515,488,791,742
73,37,2,car,1031,562,1093,604
74,37,8,truck,520,489,783,741
75,38,2,car,1030,559,1092,601
76,38,8,truck,524,488,783,738
77,39,1,bus,520,487,791,740
78,39,2,car,1029,558,1090,600
79,39,8,truck,526,487,785,739
80,40,1,bus,524,487,793,738
81,40,2,car,1029,560,1084,598
82,40,8,truck,528,487,786,739
83,41,2,car,1028,559,1081,596
84,41,8,truck,532,488,786,738
85,42,1,bus,526,486,793,740
86,42,2,car,1027,561,1078,595
87,42,8,truck,532,486,788,739
88,43,1,bus,531,488,791,738
89,43,2,car,1025,561,1076,595
90,43,8,truck,535,488,787,738
91,44,1,bus,534,488,793,737
92,44,2,car,1023,560,1074,594
93,44,8,truck,539,490,785,735
94,45,2,car,1021,560,1072,594
95,45,8,truck,541,490,785,734
96,46,2,car,1020,560,1070,593
97,46,8,truck,545,493,785,733
98,47,2,car,1019,559,1070,593
99,47,8,truck,547,493,787,734
100,48,2,car,1017,558,1068,592
101,48,8,truck,549,492,788,733
102,49,2,car,1014,557,1067,593
103,49,8,truck,553,493,786,728
104,50,2,car,1014,557,1065,592
105,50,8,truck,556,494,785,725
106,51,2,car,1012,557,1063,591
107,51,8,truck,559,495,786,724
108,52,2,car,1011,557,1062,591
109,52,8,truck,560,494,785,720
110,53,2,car,1010,557,1060,591
111,53,8,truck,559,494,786,720
112,54,2,car,1010,556,1059,590
113,54,8,truck,562,494,787,720
114,55,2,car,1009,556,1058,589
115,55,8,truck,563,495,788,720
116,56,1,bus,576,508,788,710
117,56,8,truck,565,495,790,720
118,57,1,bus,579,510,788,708
119,57,2,car,1005,555,1053,588
120,57,8,truck,569,497,791,718
121,58,2,car,1004,555,1051,588
122,58,8,truck,572,497,791,716
123,59,1,bus,587,511,794,702
124,59,8,truck,576,496,795,714
125,60,1,bus,587,514,793,701
126,60,8,truck,578,499,794,712
127,61,1,bus,589,515,793,698
128,61,8,truck,580,499,796,713
129,62,1,bus,585,508,800,702
130,62,8,truck,585,500,799,710
131,63,1,bus,588,508,800,700
132,63,8,truck,589,501,803,711
133,64,1,bus,587,504,804,702
134,64,8,truck,591,499,804,709
135,65,1,bus,591,504,806,701
136,65,8,truck,594,500,805,708
137,66,1,bus,592,504,807,702
138,67,1,bus,595,503,810,702
139,67,8,truck,600,500,811,707
140,68,1,bus,599,504,810,701
141,68,8,truck,604,503,807,702
142,69,1,bus,601,504,810,700
