,time,id,class,region1x,region1y,region2x,region2y
0,3,1,bus,344,473,721,800
1,3,2,car,892,579,1022,682
2,4,1,bus,351,474,723,797
3,4,2,car,893,577,1020,678
4,5,1,bus,354,472,728,797
5,5,2,car,896,578,1016,673
6,6,1,bus,362,474,729,793
7,6,2,car,894,578,1012,670
8,7,1,bus,365,474,729,791
9,7,2,car,907,576,1020,664
10,8,1,bus,373,476,734,791
11,8,2,car,925,575,1034,659
12,9,1,bus,382,478,737,788
13,9,2,car,941,576,1045,654
14,10,1,bus,389,480,740,786
15,10,2,car,956,575,1056,650
16,11,1,bus,395,481,741,784
17,11,2,car,972,574,1070,646
18,12,1,bus,403,482,744,781
19,12,2,car,986,574,1081,644
20,13,1,bus,408,483,742,775
21,13,2,car,999,573,1093,642
22,14,1,bus,411,481,743,772
23,14,2,car,1011,572,1104,638
24,15,1,bus,418,483,743,769
25,15,2,car,1021,571,1113,637
26,16,1,bus,423,484,743,766
27,16,2,car,1031,571,1122,636
28,17,1,bus,426,485,744,764
29,17,2,car,1039,571,1128,634
30,18,1,bus,433,485,749,763
31,18,2,car,1049,570,1134,630
32,19,1,bus,438,486,753,763
33,19,2,car,1059,569,1142,628
34,20,1,bus,438,485,757,767
35,20,2,car,1058,568,1142,627
36,21,1,bus,443,486,753,759
37,21,2,car,1057,569,1136,625
38,22,1,bus,448,488,753,755
39,22,2,car,1053,568,1132,623
40,23,1,bus,450,489,755,755
41,23,2,car,1052,567,1128,621
42,24,1,bus,455,487,761,755
43,24,2,car,1050,567,1124,619
44,25,1,bus,458,485,763,754
45,25,2,car,1048,567,1120,616
46,26,1,bus,464,487,765,752
47,26,2,car,1048,567,1118,616
48,27,1,bus,464,485,766,753
49,27,2,car,1046,566,1116,614
50,28,1,bus,468,484,770,754
51,28,2,car,1043,566,1112,614
52,29,1,bus,475,486,772,754
53,29,2,car,1040,565,1110,613
54,29,9,truck,480,486,766,755
55,30,1,bus,480,484,776,753
56,30,2,car,1039,564,1108,612
57,30,9,truck,485,483,771,754
58,31,1,bus,484,484,779,752
59,31,2,car,1039,562,1107,609
60,31,9,truck,491,484,773,751
61,32,2,car,1039,561,1106,607
62,32,9,truck,497,487,773,749
63,33,9,truck,502,489,775,748
64,34,2,car,1034,562,1099,607
65,34,9,truck,506,489,778,749
66,35,2,car,1032,563,1096,607
67,35,9,truck,511,489,780,746
68,36,1,bus,511,487,788,744
69,36,2,car,1032,562,1094,605
70,36,9,truck,516,488,783,744
71,37,1,bus,515,487,791,742
72,37,2,car,1032,562,1092,604
73,37,9,truck,520,489,783,741
74,38,1,bus,520,488,788,737
75,38,2,car,1030,562,1090,602
76,38,9,truck,525,488,783,738
77,39,1,bus,523,488,789,738
78,39,2,car,1030,561,1088,601
79,39,9,truck,527,488,785,738
80,40,1,bus,524,487,790,740
81,40,9,truck,527,487,787,740
82,41,1,bus,532,491,785,732
83,41,9,truck,532,488,785,736
84,42,1,bus,531,488,789,736
85,42,2,car,1026,560,1079,596
86,42,9,truck,533,487,788,738
87,43,1,bus,534,489,789,736
88,43,2,car,1024,559,1077,595
89,43,9,truck,536,489,787,737
90,44,1,bus,537,489,790,735
91,44,2,car,1022,559,1075,594
92,44,9,truck,539,490,786,736
93,45,2,car,1020,559,1072,594
94,45,9,truck,541,490,786,735
95,46,2,car,1019,559,1070,593
96,46,9,truck,544,493,786,734
97,47,2,car,1018,559,1070,594
98,47,9,truck,547,492,788,734
99,48,2,car,1017,558,1068,593
100,48,9,truck,549,493,787,732
101,49,2,car,1014,558,1066,592
102,49,9,truck,553,493,786,728
103,50,2,car,1013,557,1065,592
104,50,9,truck,555,494,785,726
105,51,2,car,1011,556,1063,591
106,51,9,truck,559,495,786,724
107,52,2,car,1011,557,1061,591
108,52,9,truck,559,494,784,719
109,53,2,car,1011,557,1059,591
110,53,9,truck,559,494,785,720
111,54,2,car,1011,557,1059,590
112,54,9,truck,562,495,787,719
113,55,2,car,1010,556,1057,589
114,55,9,truck,564,496,788,719
115,56,9,truck,566,497,790,719
116,57,9,truck,569,497,792,718
117,58,9,truck,571,496,793,717
118,59,1,bus,572,495,796,714
119,59,9,truck,574,496,794,714
120,60,1,bus,575,498,797,714
121,60,9,truck,587,509,788,705
122,61,1,bus,578,498,798,714
123,61,9,truck,594,514,787,699
124,62,1,bus,583,499,801,711
125,62,9,truck,597,514,790,698
126,63,1,bus,587,500,803,711
127,63,9,truck,601,515,790,695
128,64,1,bus,590,499,805,710
129,64,9,truck,594,506,797,701
130,65,1,bus,593,500,806,708
131,65,9,truck,596,505,801,701
132,66,1,bus,596,500,808,707
133,66,9,truck,596,503,803,701
134,67,1,bus,599,500,809,706
135,67,9,truck,597,503,806,702
136,68,1,bus,602,500,812,706
137,68,9,truck,601,504,806,700
138,69,1,bus,605,501,814,705
139,69,9,truck,604,504,808,699
140,70,1,bus,610,504,808,698
141,70,9,truck,608,504,809,698
142,71,1,bus,613,505,809,696
143,71,9,truck,611,505,812,697
144,72,9,truck,613,504,815,698
145,73,9,truck,615,505,814,697
146,74,1,bus,618,505,813,696
147,74,9,truck,617,505,814,696
148,75,1,bus,621,505,814,695
149,75,9,truck,618,506,815,696
150,76,9,truck,619,506,814,695
151,77,1,bus,621,506,814,696
152,77,9,truck,620,506,815,696
153,78,1,bus,622,507,813,695
154,78,9,truck,621,507,815,695
155,79,1,bus,623,506,813,694
156,79,9,truck,623,507,816,695
157,80,1,bus,624,505,813,693
158,81,1,bus,626,505,813,692
159,81,9,truck,624,504,816,693
160,82,1,bus,629,504,815,691
161,82,9,truck,626,504,817,692
162,83,1,bus,631,505,815,690
163,83,9,truck,630,506,816,690
164,84,1,bus,632,505,814,689
165,84,9,truck,630,506,815,689
166,85,1,bus,635,506,814,686
167,85,9,truck,632,506,816,688
168,86,1,bus,635,506,813,686
169,86,9,truck,633,506,814,687
170,87,1,bus,635,506,813,687
171,87,9,truck,633,506,814,687
172,88,1,bus,637,506,815,686
173,88,9,truck,636,506,816,686
174,89,1,bus,640,506,816,685
175,89,9,truck,638,506,817,686
176,90,1,bus,643,506,817,683
