,time,id,class,region1x,region1y,region2x,region2y
0,3,1,bus,224,462,679,848
1,3,2,car,893,579,1021,682
2,4,1,bus,176,455,662,866
3,4,2,car,893,577,1019,679
4,5,1,bus,114,447,649,898
5,5,2,car,896,578,1016,673
6,6,1,bus,52,443,625,924
7,6,2,car,899,580,1011,669
8,7,1,bus,-3,429,628,961
9,7,2,car,904,585,1007,666
10,8,1,bus,-59,408,654,1017
11,8,2,car,905,578,1008,659
12,9,1,bus,-96,393,667,1056
13,9,2,car,907,575,1007,654
14,10,1,bus,-120,378,670,1081
15,10,2,car,905,571,1008,652
16,11,1,bus,-136,362,660,1089
17,11,2,car,910,570,1010,648
18,12,1,bus,-151,338,649,1092
19,12,2,car,909,569,1006,644
20,13,1,bus,-156,335,623,1093
21,13,2,car,914,570,1007,641
22,14,1,bus,-194,325,618,1114
23,14,2,car,915,569,1006,638
24,15,2,car,914,569,1003,637
25,15,4,bus,-41,348,430,1080
26,16,2,car,914,566,1001,633
27,16,4,bus,-68,349,397,1080
28,17,2,car,914,566,998,630
29,17,4,bus,-70,427,336,1076
30,18,2,car,914,566,997,629
31,18,4,bus,-87,442,308,1075
32,19,2,car,916,567,996,628
33,20,2,car,917,567,995,626
34,21,2,car,918,566,993,623
35,22,2,car,920,566,991,620
36,23,2,car,920,566,990,617
37,24,2,car,922,566,990,617
38,25,2,car,921,565,991,616
39,26,2,car,922,565,990,614
40,27,2,car,922,564,990,613
41,28,2,car,923,562,990,610
42,29,2,car,923,562,989,609
43,30,2,car,923,562,988,608
44,31,2,car,922,560,989,607
45,32,2,car,924,560,989,606
46,33,2,car,924,561,990,607
47,34,2,car,928,561,991,605
48,35,2,car,932,562,992,604
49,36,2,car,932,558,994,602
50,37,2,car,933,557,994,601
51,38,2,car,934,558,993,599
52,39,2,car,935,558,992,598
53,40,2,car,935,559,991,597
54,41,2,car,935,559,989,596
55,42,2,car,935,558,989,595
56,43,2,car,934,557,989,594
57,44,2,car,934,557,988,593
58,45,2,car,933,558,984,593
59,46,2,car,935,558,985,592
60,47,2,car,934,560,982,592
61,48,2,car,933,560,980,591
62,49,2,car,932,559,979,591
63,50,2,car,931,558,979,591
64,51,2,car,931,557,979,590
65,52,2,car,931,557,978,590
66,53,2,car,931,556,977,589
67,56,2,car,928,554,975,587
68,57,2,car,930,554,975,587
69,58,2,car,929,554,974,586
70,70,2,car,943,552,980,578
71,71,2,car,944,552,981,578
