,time,id,class,region1x,region1y,region2x,region2y
0,3,1,bus,344,474,720,800
1,3,2,car,891,578,1023,682
2,4,1,bus,351,474,723,797
3,4,2,car,893,579,1020,679
4,5,1,bus,354,472,728,797
5,5,2,car,896,578,1016,673
6,6,1,bus,362,474,729,793
7,6,2,car,902,587,1008,669
8,7,1,bus,367,475,727,789
9,7,2,car,904,588,1003,666
10,8,1,bus,374,477,734,791
11,8,2,car,908,577,1011,657
12,9,1,bus,382,479,734,786
13,9,2,car,908,576,1008,653
14,10,1,bus,389,480,739,786
15,10,2,car,904,569,1011,652
16,11,1,bus,395,481,742,784
17,11,2,car,908,569,1011,649
18,12,1,bus,403,481,745,780
19,12,2,car,908,568,1007,645
20,12,5,truck,402,482,743,779
21,13,1,bus,408,482,744,777
22,13,2,car,913,569,1007,641
23,13,5,truck,406,483,741,775
24,14,1,bus,414,483,747,775
25,14,2,car,914,567,1009,640
26,14,5,truck,410,480,743,772
27,15,2,car,914,569,1003,636
28,15,5,truck,417,483,743,768
29,16,2,car,914,566,1002,633
30,16,5,truck,422,483,744,766
31,17,2,car,914,566,999,630
32,17,5,truck,425,484,745,764
33,18,1,bus,430,483,757,771
34,18,2,car,915,567,996,627
35,18,5,truck,431,484,751,765
36,19,1,bus,434,483,758,771
37,19,2,car,916,567,996,627
38,19,5,truck,435,485,754,764
39,20,1,bus,437,484,758,769
40,20,2,car,917,567,994,625
41,20,5,truck,440,486,756,762
42,21,1,bus,443,486,753,760
43,21,2,car,918,567,993,622
44,22,1,bus,445,486,755,762
45,22,2,car,920,566,992,620
46,22,5,truck,447,488,753,756
47,23,1,bus,450,487,757,760
48,23,2,car,921,566,991,618
49,23,5,truck,449,489,755,755
50,24,2,car,921,565,991,617
51,24,5,truck,455,487,760,755
52,24,7,car,1661,687,1890,1080
53,25,2,car,921,565,990,615
54,25,5,truck,458,486,763,754
55,25,7,car,1622,664,1869,1080
56,26,2,car,922,565,990,614
57,26,5,truck,463,487,764,752
58,26,7,car,1587,636,1856,1080
59,27,2,car,923,564,990,612
60,27,5,truck,464,485,766,754
61,27,7,car,1559,624,1844,1080
62,28,1,bus,469,484,770,755
63,28,2,car,924,563,989,610
64,28,5,truck,468,484,770,754
65,28,7,car,1536,622,1833,1080
66,29,1,bus,476,485,772,755
67,29,2,car,924,562,988,608
68,29,5,truck,475,485,773,755
69,29,7,car,1511,617,1825,1079
70,30,1,bus,482,485,774,754
71,30,2,car,924,562,988,607
72,30,5,truck,480,485,775,754
73,30,7,car,1486,612,1816,1075
74,31,1,bus,486,485,776,752
75,31,2,car,922,560,988,606
76,31,5,truck,488,485,777,750
77,31,7,car,1466,604,1803,1049
78,32,2,car,924,560,989,606
79,32,5,truck,494,486,777,749
80,32,7,car,1457,603,1801,1030
81,33,2,car,923,560,989,606
82,33,5,truck,499,488,779,749
83,33,7,car,1454,605,1790,992
84,34,2,car,928,561,992,605
85,34,5,truck,503,488,781,749
86,34,7,car,1427,602,1762,962
87,35,2,car,930,562,992,604
88,35,5,truck,508,488,784,748
89,35,7,car,1395,596,1729,935
90,36,1,bus,516,494,778,735
91,36,2,car,929,557,995,603
92,36,5,truck,513,486,786,745
93,36,7,car,1359,588,1699,919
94,37,1,bus,521,495,779,733
95,37,2,car,930,556,995,601
