,time,id,class,region1x,region1y,region2x,region2y
0,3,1,bus,221,460,671,850
1,3,2,car,895,578,1017,676
2,4,1,bus,178,454,653,864
3,4,2,car,905,583,1015,670
4,5,1,bus,116,445,645,900
5,5,2,car,904,577,1011,662
6,6,1,bus,57,440,623,926
7,6,2,car,908,576,1006,654
8,7,1,bus,3,429,622,959
9,7,2,car,909,575,1004,650
10,8,1,bus,-52,409,646,1014
11,8,2,car,910,573,1003,646
12,9,1,bus,-88,395,660,1055
13,9,2,car,909,569,1003,643
14,10,1,bus,-112,379,665,1080
15,10,2,car,912,570,1002,639
16,11,1,bus,-154,371,662,1106
17,11,2,car,915,571,999,636
18,12,2,car,919,568,1001,631
19,12,3,truck,-37,343,556,1080
20,13,2,car,921,567,1000,628
21,13,3,truck,-58,331,541,1080
22,14,2,car,923,566,998,623
23,14,3,truck,-71,349,506,1080
24,15,2,car,925,565,997,620
25,15,3,truck,-92,338,483,1080
26,16,2,car,925,565,992,615
27,16,3,truck,-111,343,444,1080
28,17,2,car,925,564,990,611
29,17,3,truck,-103,422,376,1074
30,18,2,car,925,564,990,611
31,18,3,truck,-119,434,350,1073
32,19,2,car,925,563,990,609
33,20,2,car,924,563,989,608
34,21,2,car,923,563,987,608
35,22,2,car,923,562,987,607
36,23,2,car,922,561,985,606
37,24,2,car,922,561,983,604
38,25,2,car,926,560,982,599
39,26,2,car,927,559,980,596
40,27,2,car,927,559,983,598
41,28,2,car,928,559,983,597
42,29,2,car,929,559,981,595
43,30,2,car,931,559,982,593
44,31,2,car,931,558,983,593
45,32,2,car,932,558,982,592
46,33,2,car,932,558,982,592
47,34,2,car,935,558,985,591
48,35,2,car,937,557,986,591
49,36,2,car,938,557,986,590
50,37,2,car,939,556,986,588
51,39,2,car,939,556,985,587
52,40,2,car,940,555,985,586
