,time,id,class,region1x,region1y,region2x,region2y
0,3,1,bus,439,485,754,761
1,3,2,car,891,579,1021,682
2,4,1,bus,469,487,772,754
3,4,2,car,894,579,1019,678
4,5,1,bus,495,487,789,747
5,5,2,car,896,578,1016,673
6,6,1,bus,517,489,796,738
7,6,2,car,905,589,1007,669
8,7,1,bus,538,492,804,731
9,7,2,car,907,590,1005,665
10,8,1,bus,558,496,807,720
11,8,2,car,909,580,1010,657
12,9,1,bus,581,502,809,709
13,9,2,car,907,576,1009,654
14,10,1,bus,599,505,814,702
15,10,2,car,905,570,1011,652
16,11,1,bus,615,506,820,695
17,11,2,car,908,569,1012,649
18,12,1,bus,631,507,827,689
19,12,2,car,907,569,1008,646
20,13,1,bus,642,508,831,685
21,13,2,car,913,571,1007,642
22,14,1,bus,656,508,835,677
23,14,2,car,914,568,1009,640
24,15,1,bus,666,508,838,673
25,15,2,car,914,569,1004,636
26,16,1,bus,673,509,841,671
27,16,2,car,917,567,1003,632
28,17,1,bus,684,509,841,662
29,17,2,car,915,566,1000,630
30,18,1,bus,696,510,846,658
31,18,2,car,916,566,998,628
32,19,1,bus,702,510,849,656
33,19,2,car,916,567,997,628
34,20,1,bus,708,511,850,654
35,20,2,car,916,567,995,626
36,21,1,bus,714,513,851,651
37,21,2,car,918,567,993,623
38,22,1,bus,724,514,856,647
39,22,2,car,920,567,993,620
40,23,2,car,921,566,991,618
41,24,2,car,923,566,991,617
42,25,2,car,922,566,991,616
43,26,1,bus,749,516,864,633
44,26,2,car,923,565,991,615
45,27,1,bus,755,516,865,630
46,27,2,car,924,565,990,613
47,28,1,bus,762,517,869,626
48,28,2,car,924,564,988,610
49,29,2,car,924,563,988,609
50,30,1,bus,772,519,873,625
51,30,2,car,923,563,987,608
52,31,1,bus,776,520,874,622
53,31,2,car,923,561,989,606
54,32,1,bus,779,520,875,621
55,32,2,car,924,561,988,606
56,33,1,bus,784,521,879,621
57,33,2,car,924,561,989,606
58,34,1,bus,790,521,884,621
59,34,2,car,927,561,991,605
60,35,1,bus,796,521,887,618
61,35,2,car,930,562,992,604
62,36,1,bus,799,522,889,618
63,36,2,car,931,561,992,603
64,37,1,bus,801,521,889,616
65,37,2,car,932,558,993,600
66,38,1,bus,804,521,890,615
67,38,2,car,934,559,993,599
68,38,7,bus,804,521,885,616
69,39,1,bus,806,521,890,613
70,39,2,car,934,558,992,597
71,39,7,bus,807,522,886,614
72,40,1,bus,810,521,893,612
73,40,2,car,935,560,990,596
74,40,7,bus,809,524,885,613
75,41,1,bus,808,523,889,612
76,41,2,car,933,559,990,596
77,41,7,bus,810,524,886,612
78,42,1,bus,812,524,890,610
79,42,2,car,934,559,989,595
80,42,7,bus,813,525,886,609
81,43,2,car,932,557,989,594
82,43,7,bus,815,525,887,608
83,44,2,car,932,557,989,594
84,44,7,bus,818,527,886,605
85,45,1,bus,818,527,888,605
86,45,2,car,930,558,986,594
87,45,7,bus,819,528,886,604
88,46,1,bus,822,528,889,603
89,46,2,car,931,559,984,593
90,46,7,bus,822,528,888,603
91,47,1,bus,825,529,890,602
92,47,2,car,931,559,984,593
93,47,7,bus,824,529,888,602
94,48,1,bus,826,527,892,601
95,48,2,car,931,559,982,592
96,48,7,bus,826,527,891,601
97,49,1,bus,829,528,893,600
98,49,2,car,930,559,981,592
99,49,7,bus,828,528,891,600
100,50,2,car,929,557,982,592
101,50,7,bus,829,529,890,599
102,51,2,car,929,557,981,591
103,51,7,bus,831,530,891,598
104,52,2,car,931,557,979,590
105,53,2,car,931,557,978,589
106,56,2,car,928,555,976,587
107,57,2,car,930,555,975,587
108,58,2,car,930,555,975,586
