,time,id,class,region1x,region1y,region2x,region2y
0,3,1,bus,344,473,721,800
1,3,2,car,892,579,1022,682
2,4,1,bus,351,474,723,797
3,4,2,car,893,579,1020,678
4,5,1,bus,354,472,728,797
5,5,2,car,896,578,1016,673
6,6,1,bus,362,474,729,793
7,6,2,car,903,588,1007,669
8,7,1,bus,366,475,727,789
9,7,2,car,905,589,1003,666
10,8,1,bus,372,477,731,790
11,8,2,car,908,577,1012,658
12,9,1,bus,381,478,736,788
13,9,2,car,908,576,1009,653
14,10,1,bus,389,480,739,786
15,10,2,car,904,569,1011,652
16,10,5,truck,389,481,738,787
17,11,1,bus,394,480,744,786
18,11,2,car,909,569,1011,648
19,11,5,truck,395,480,742,786
20,12,1,bus,403,481,745,781
21,12,2,car,908,569,1007,644
22,12,5,truck,404,482,741,779
23,13,1,bus,408,482,744,777
24,13,2,car,913,570,1006,641
25,13,5,truck,408,483,740,775
26,13,7,car,1707,622,1859,847
27,14,1,bus,411,481,745,773
28,14,2,car,916,570,1005,638
29,14,5,truck,414,483,741,772
30,14,7,car,1687,615,1836,825
31,15,1,bus,419,483,744,768
32,15,2,car,915,570,1002,636
33,15,7,car,1665,611,1817,812
34,16,1,bus,423,483,745,766
35,16,2,car,914,567,1001,632
36,16,7,car,1621,604,1776,796
37,17,1,bus,426,483,745,765
38,17,2,car,914,566,998,630
39,17,5,truck,422,481,749,770
40,17,7,car,1579,601,1734,780
41,18,1,bus,432,484,750,764
42,18,2,car,915,566,996,627
43,18,5,truck,430,483,753,769
44,18,7,car,1541,596,1694,763
45,19,1,bus,437,485,754,764
46,19,2,car,916,567,996,627
47,19,5,truck,434,483,756,769
48,19,7,car,1506,597,1658,753
49,20,1,bus,440,486,756,764
50,20,2,car,917,567,994,625
51,20,5,truck,439,484,759,768
52,20,7,car,1471,593,1625,745
53,21,1,bus,443,487,753,758
54,21,2,car,918,566,993,622
55,21,5,truck,440,484,754,764
56,21,7,car,1442,589,1595,734
57,22,1,bus,444,487,756,761
58,22,2,car,920,566,992,620
59,22,5,truck,446,487,753,758
60,22,7,car,1416,588,1566,725
61,23,1,bus,449,488,756,757
62,23,2,car,920,566,991,618
63,23,5,truck,451,487,754,756
64,23,7,car,1394,588,1542,719
65,24,1,bus,454,486,761,756
66,24,2,car,922,566,991,617
67,24,7,car,1375,587,1520,712
68,24,8,car,1662,688,1888,1080
69,25,1,bus,458,486,763,755
70,25,2,car,922,566,990,615
71,25,7,car,1358,586,1500,705
72,25,8,car,1624,665,1867,1079
73,26,1,bus,463,486,764,753
74,26,2,car,923,565,990,614
75,26,7,car,1341,585,1481,699
76,26,8,car,1592,647,1852,1079
77,27,1,bus,464,485,766,755
78,27,2,car,923,565,990,612
79,27,7,car,1324,581,1465,694
80,27,8,car,1563,639,1837,1078
81,28,1,bus,473,487,767,750
82,28,2,car,924,563,989,610
83,28,5,truck,470,483,773,756
84,28,7,car,1310,578,1449,689
85,28,8,car,1538,628,1831,1079
86,29,1,bus,477,485,772,753
87,29,2,car,924,563,988,608
88,29,5,truck,477,484,774,755
89,29,7,car,1297,576,1435,684
90,29,8,car,1512,619,1823,1079
91,30,1,bus,481,485,775,752
92,30,2,car,924,563,988,607
93,30,5,truck,483,484,775,753
94,30,7,car,1286,573,1422,679
95,30,8,car,1488,613,1817,1075
96,31,2,car,923,561,988,606
97,31,5,truck,491,484,776,750
98,31,7,car,1277,571,1406,670
99,31,8,car,1466,603,1804,1051
100,32,1,bus,496,491,771,741
101,32,2,car,923,560,989,606
102,32,5,truck,496,486,776,748
103,32,7,car,1269,571,1392,665
104,32,8,car,1455,600,1803,1034
105,33,1,bus,498,490,779,746
106,33,2,car,923,560,990,606
107,33,5,truck,501,488,778,749
108,33,7,car,1258,570,1383,664
109,33,8,car,1445,602,1787,995
110,34,1,bus,502,490,781,745
111,34,2,car,927,561,992,605
112,34,5,truck,504,488,779,749
113,34,7,car,1252,570,1372,660
114,34,8,car,1422,600,1759,964
115,35,2,car,931,562,993,604
116,35,5,truck,510,488,782,747
117,35,7,car,1245,571,1360,657
118,35,8,car,1393,596,1728,937
119,36,1,bus,515,494,780,737
120,36,2,car,930,557,996,603
121,36,5,truck,516,487,784,745
122,36,7,car,1239,570,1349,652
123,36,8,car,1359,589,1697,919
124,37,1,bus,520,495,782,735
125,37,2,car,930,556,995,601
126,37,5,truck,520,488,784,742
127,37,7,car,1234,569,1340,646
128,37,8,car,1330,579,1670,900
129,38,1,bus,521,490,786,736
130,38,2,car,933,557,993,599
131,38,5,truck,525,488,783,738
132,38,7,car,1225,568,1329,643
133,38,8,car,1308,582,1630,875
134,39,1,bus,525,492,785,732
135,39,2,car,933,557,993,599
136,39,5,truck,527,487,784,738
137,39,7,car,1219,569,1318,639
138,39,8,car,1288,582,1599,856
139,40,1,bus,528,494,784,731
140,40,2,car,934,559,991,598
141,40,5,truck,528,487,785,739
142,40,7,car,1215,567,1312,636
143,40,8,car,1273,586,1568,838
144,41,1,bus,530,490,789,734
145,41,2,car,934,558,989,596
146,41,5,truck,533,488,786,737
147,41,7,car,1204,567,1300,633
148,41,8,car,1259,586,1542,822
149,42,1,bus,529,487,791,737
150,42,2,car,934,558,988,595
151,42,5,truck,533,486,787,738
152,42,7,car,1196,566,1297,636
153,42,8,car,1247,587,1516,807
154,43,1,bus,534,491,786,732
155,43,2,car,934,557,989,594
156,43,5,truck,536,488,786,737
157,43,7,car,1194,566,1286,630
158,43,8,car,1236,587,1495,793
159,44,1,bus,537,491,788,731
160,44,2,car,934,557,988,593
161,44,5,truck,538,489,785,736
162,44,7,car,1186,564,1277,628
163,44,8,car,1222,585,1476,784
164,45,2,car,931,557,985,593
165,45,5,truck,541,489,785,735
166,45,7,car,1180,565,1269,627
167,45,8,car,1207,580,1458,774
168,46,2,car,932,559,984,593
169,46,5,truck,545,493,783,734
170,46,7,car,1177,566,1261,625
171,46,8,car,1196,580,1441,766
172,47,2,car,933,559,983,592
173,47,5,truck,547,493,785,735
174,47,7,car,1170,565,1251,623
175,47,8,car,1184,580,1428,762
176,48,2,car,932,559,981,591
