,time,id,class,region1x,region1y,region2x,region2y
0,3,1,bus,343,473,721,800
1,3,2,car,892,579,1022,682
2,4,1,bus,351,474,724,797
3,4,2,car,893,577,1020,678
4,5,1,bus,354,472,727,795
5,5,2,car,896,578,1016,673
6,6,1,bus,362,475,729,793
7,6,2,car,898,576,1013,665
8,7,1,bus,365,473,728,788
9,7,2,car,925,578,1036,660
10,8,1,bus,376,476,734,786
11,8,2,car,958,577,1068,657
12,9,1,bus,381,479,734,786
13,9,2,car,992,577,1102,655
14,10,1,bus,391,482,738,784
15,10,2,car,1025,577,1136,654
16,11,1,bus,397,483,740,782
17,11,2,car,1058,577,1167,651
18,12,1,bus,405,484,741,777
19,12,2,car,1078,575,1186,649
20,13,1,bus,409,483,743,775
21,13,2,car,1082,574,1188,646
22,14,1,bus,412,481,745,773
23,14,2,car,1081,573,1183,643
24,15,1,bus,420,483,744,768
25,15,2,car,1076,572,1177,641
26,16,1,bus,425,485,744,766
27,16,2,car,1070,569,1171,638
28,17,1,bus,427,486,744,763
29,17,2,car,1069,571,1163,635
30,18,1,bus,433,485,749,763
31,18,2,car,1065,570,1154,631
32,19,1,bus,436,485,753,764
33,19,2,car,1061,570,1148,629
34,20,1,bus,439,486,756,765
35,20,2,car,1060,570,1142,627
36,21,1,bus,443,487,754,758
37,21,2,car,1057,571,1136,625
38,22,1,bus,445,487,754,757
39,22,2,car,1050,568,1133,625
40,23,1,bus,450,488,756,755
41,23,2,car,1050,568,1129,622
42,24,1,bus,454,487,762,755
43,24,2,car,1048,567,1123,619
44,25,1,bus,458,486,764,754
45,25,2,car,1047,567,1120,617
46,26,1,bus,463,486,766,752
47,26,2,car,1046,567,1117,616
48,27,1,bus,463,485,767,754
49,27,2,car,1045,567,1115,614
50,28,1,bus,469,485,771,754
51,28,2,car,1043,566,1114,614
52,29,1,bus,475,485,773,753
53,29,2,car,1039,565,1110,613
54,29,9,truck,483,486,765,754
55,30,1,bus,479,486,775,752
56,30,2,car,1037,563,1108,611
57,30,9,truck,487,485,769,753
58,31,2,car,1037,563,1107,610
59,31,9,truck,493,485,771,750
60,32,2,car,1036,562,1105,608
61,32,9,truck,498,486,773,749
62,33,2,car,1033,562,1100,608
63,33,9,truck,504,488,775,747
64,34,2,car,1032,563,1099,608
65,34,9,truck,507,489,777,748
66,35,1,bus,506,487,788,745
67,35,2,car,1032,563,1098,608
68,35,9,truck,513,488,780,745
69,36,1,bus,511,488,789,743
70,36,2,car,1030,561,1096,606
71,36,9,truck,517,488,783,744
72,37,1,bus,519,492,784,736
73,37,2,car,1032,562,1093,603
74,37,9,truck,522,488,784,741
75,38,1,bus,522,492,783,732
76,38,2,car,1031,562,1090,602
77,38,9,truck,525,488,783,738
78,39,1,bus,523,490,788,736
79,39,2,car,1030,562,1088,601
80,39,9,truck,527,489,785,738
81,40,1,bus,528,493,786,733
82,40,9,truck,529,489,786,739
83,41,1,bus,529,489,790,735
84,41,9,truck,532,487,787,737
85,42,1,bus,532,489,792,733
86,42,9,truck,534,487,789,739
87,43,1,bus,532,488,794,737
88,43,2,car,1025,561,1076,595
89,43,9,truck,537,488,789,738
90,44,1,bus,536,490,791,734
91,44,2,car,1022,558,1074,594
92,44,9,truck,540,490,786,735
93,45,1,bus,545,495,788,728
94,45,2,car,1021,559,1072,594
95,45,9,truck,544,491,787,734
96,46,1,bus,549,500,787,727
97,46,2,car,1020,559,1071,593
98,46,9,truck,547,493,786,732
99,47,1,bus,551,499,788,726
100,47,2,car,1019,559,1069,593
101,47,9,truck,549,494,787,732
102,48,1,bus,555,500,789,725
103,48,2,car,1017,558,1067,592
104,48,9,truck,553,494,788,730
105,49,2,car,1015,558,1066,592
106,49,9,truck,554,494,786,727
107,50,2,car,1013,557,1065,592
108,50,9,truck,555,494,787,727
109,51,2,car,1013,556,1064,591
110,51,9,truck,558,496,785,723
111,52,2,car,1012,557,1062,591
112,52,9,truck,561,496,785,719
113,53,2,car,1012,557,1060,590
114,53,9,truck,563,496,787,719
115,54,2,car,1011,557,1059,590
116,54,9,truck,565,496,787,717
117,55,2,car,1009,556,1057,590
118,55,9,truck,566,497,790,718
119,56,9,truck,567,496,791,719
120,57,2,car,1005,556,1052,588
121,57,9,truck,569,496,792,718
122,58,2,car,1004,555,1050,588
123,58,9,truck,571,496,794,717
124,59,9,truck,574,496,794,714
125,60,1,bus,592,516,788,699
126,60,9,truck,578,499,794,712
127,61,1,bus,593,515,793,699
128,61,9,truck,581,500,798,712
129,62,1,bus,593,514,796,700
130,62,9,truck,587,502,800,711
131,63,1,bus,590,507,801,703
132,63,9,truck,592,503,799,707
133,64,1,bus,592,505,804,702
134,64,9,truck,594,500,805,708
135,65,1,bus,593,504,805,701
136,65,2,car,1005,553,1048,583
137,65,9,truck,597,501,807,707
138,66,1,bus,594,501,811,703
139,66,2,car,1005,552,1047,582
140,67,1,bus,597,503,810,702
141,68,1,bus,600,502,815,704
142,68,9,truck,606,504,805,699
143,69,1,bus,605,503,814,700
144,69,9,truck,607,500,815,704
145,70,1,bus,607,503,816,700
146,70,9,truck,611,504,810,699
147,71,9,truck,615,504,812,697
148,72,9,truck,617,505,813,696
149,73,9,truck,618,504,814,696
150,74,1,bus,616,505,817,697
151,74,9,truck,619,505,814,696
152,75,1,bus,618,505,818,696
153,75,9,truck,620,506,814,696
154,76,1,bus,614,501,826,703
155,76,9,truck,622,506,815,695
156,77,1,bus,615,500,828,703
157,77,9,truck,623,506,813,694
158,78,9,truck,624,506,814,694
159,79,1,bus,622,505,819,694
160,79,9,truck,625,506,814,693
161,80,1,bus,625,505,818,691
162,80,9,truck,628,505,816,692
163,81,1,bus,627,505,817,690
164,81,9,truck,629,505,816,691
165,82,1,bus,628,505,817,690
166,82,9,truck,631,506,815,690
167,83,1,bus,630,505,818,689
168,83,9,truck,633,505,816,688
169,84,9,truck,634,505,816,688
170,85,9,truck,635,506,815,688
171,86,9,truck,637,506,816,687
172,87,1,bus,636,506,817,685
173,87,9,truck,638,506,815,685
174,88,1,bus,637,506,817,684
175,88,9,truck,641,506,815,682
176,89,9,truck,643,506,815,680
177,90,9,truck,644,506,816,682
178,91,1,bus,643,506,819,682
179,91,9,truck,645,506,817,682
180,92,1,bus,646,507,820,681
181,92,9,truck,647,507,818,681
182,93,1,bus,648,507,820,681
183,94,1,bus,649,506,820,679
184,95,1,bus,655,506,823,676
185,96,1,bus,659,506,826,675
186,97,1,bus,662,507,827,675
187,98,1,bus,663,508,827,674
188,99,1,bus,666,508,828,673
189,100,1,bus,668,508,830,674
