,time,id,class,region1x,region1y,region2x,region2y
0,3,1,bus,344,474,720,800
1,3,2,car,891,578,1023,682
2,4,1,bus,352,474,723,797
3,4,2,car,892,578,1020,679
4,5,1,bus,354,472,728,797
5,5,2,car,896,578,1016,673
6,6,1,bus,362,474,729,793
7,6,2,car,902,586,1008,669
8,7,1,bus,366,475,728,790
9,7,2,car,904,587,1004,666
10,8,1,bus,374,477,734,790
11,8,2,car,908,577,1012,658
12,9,1,bus,383,478,737,787
13,9,2,car,908,576,1008,653
14,10,1,bus,388,479,741,787
15,10,2,car,904,569,1010,652
16,10,5,bus,391,480,735,786
17,11,1,bus,395,480,744,785
18,11,2,car,909,569,1011,648
19,11,5,bus,398,481,738,784
20,11,6,car,1584,647,1823,1077
21,12,1,bus,403,482,743,779
22,12,2,car,908,568,1007,644
23,12,5,bus,406,482,742,780
24,12,6,car,1532,627,1790,1073
25,13,1,bus,407,483,742,775
26,13,2,car,914,570,1007,641
27,13,5,bus,410,482,741,776
28,13,6,car,1504,611,1753,1010
29,14,1,bus,411,481,745,773
30,14,2,car,916,570,1005,638
31,14,5,bus,413,480,743,774
32,14,6,car,1447,595,1680,943
33,15,1,bus,417,481,747,771
34,15,2,car,915,570,1001,636
35,15,5,bus,419,482,742,769
36,15,6,car,1376,585,1594,887
37,16,2,car,914,567,1001,632
38,16,5,bus,424,482,743,767
39,16,6,car,1320,584,1519,841
40,17,1,bus,428,482,755,769
41,17,2,car,914,566,998,630
42,17,5,bus,427,483,744,764
43,17,6,car,1283,583,1462,801
44,18,1,bus,431,483,756,770
45,18,2,car,915,566,996,627
46,18,5,bus,432,483,745,762
47,18,6,car,1246,575,1418,774
48,19,1,bus,434,484,757,770
49,19,2,car,916,567,996,627
50,19,6,car,1217,578,1381,755
51,20,1,bus,438,485,758,769
52,20,2,car,917,567,994,625
53,20,6,car,1192,575,1350,739
54,21,1,bus,443,486,753,760
55,21,2,car,918,566,992,622
56,21,6,car,1167,572,1325,730
57,22,1,bus,448,487,753,756
58,22,2,car,920,566,992,620
59,22,5,bus,449,487,752,755
60,22,6,car,1150,570,1303,718
61,23,1,bus,450,488,754,755
62,23,2,car,921,566,991,618
63,23,5,bus,453,488,753,753
64,23,6,car,1135,567,1282,706
65,24,1,bus,456,487,760,755
66,24,2,car,921,565,991,617
67,24,6,car,1123,566,1264,696
68,25,1,bus,459,486,762,754
69,25,2,car,922,565,990,615
70,25,6,car,1113,564,1251,688
71,26,1,bus,464,486,763,753
72,26,2,car,922,565,990,614
73,26,6,car,1108,563,1235,675
74,27,1,bus,465,485,766,754
75,27,2,car,924,564,990,612
76,27,6,car,1099,561,1227,672
77,28,1,bus,473,487,766,750
78,28,2,car,923,563,989,610
79,28,5,bus,470,484,772,756
80,28,6,car,1093,561,1217,667
81,29,1,bus,476,486,771,753
82,29,2,car,924,563,988,608
83,29,5,bus,476,485,773,755
84,29,6,car,1086,561,1202,660
85,30,1,bus,482,486,775,753
86,30,2,car,924,563,988,608
87,30,5,bus,483,485,774,754
88,30,6,car,1079,560,1193,655
89,31,1,bus,486,486,777,752
90,31,2,car,923,561,989,607
91,31,5,bus,490,486,775,750
92,31,6,car,1076,558,1187,650
93,32,2,car,924,560,989,606
94,32,5,bus,495,487,775,749
