,time,id,class,region1x,region1y,region2x,region2y
0,3,1,car,891,580,1022,683
1,3,2,truck,500,486,788,745
2,4,1,car,894,580,1019,679
3,4,2,truck,545,493,802,724
4,5,1,car,900,579,1020,673
5,5,2,truck,580,498,813,709
6,6,1,car,906,589,1008,669
7,6,2,truck,612,505,822,695
8,7,1,car,906,589,1006,665
9,7,2,truck,635,507,831,685
10,8,1,car,909,581,1010,657
11,8,2,truck,660,505,840,671
12,9,1,car,907,577,1008,653
13,9,2,truck,677,508,847,666
14,10,1,car,905,571,1010,651
15,10,2,truck,697,511,853,657
16,11,1,car,908,570,1010,647
17,11,2,truck,710,513,858,654
18,12,1,car,907,569,1009,645
19,12,2,truck,726,516,864,649
20,13,1,car,913,571,1007,641
21,13,2,truck,739,513,869,640
22,14,1,car,915,570,1006,638
23,14,2,truck,751,515,871,634
24,15,1,car,914,571,1002,637
25,15,2,truck,768,516,878,626
26,16,1,car,915,571,1000,634
27,17,1,car,914,568,998,631
28,17,2,truck,773,517,875,620
29,18,1,car,915,567,996,627
30,18,2,truck,785,518,880,613
31,19,1,car,916,568,996,626
32,19,2,truck,787,519,882,617
33,20,1,car,916,568,995,625
34,20,2,truck,790,520,883,617
35,21,1,car,917,567,993,623
36,21,2,truck,797,521,885,615
37,22,1,car,919,567,992,620
38,22,2,truck,806,522,889,611
39,23,1,car,921,567,991,617
40,23,2,truck,807,526,883,607
41,24,1,car,922,566,992,617
42,24,2,truck,812,528,883,603
43,25,1,car,921,566,992,616
44,25,2,truck,817,527,887,602
45,26,1,car,922,565,992,614
46,26,2,truck,823,528,890,600
47,27,1,car,923,564,991,612
48,27,2,truck,828,528,893,598
49,28,1,car,923,563,989,610
50,28,2,truck,834,529,895,595
51,29,1,car,924,563,989,608
52,29,2,truck,833,527,897,597
53,30,1,car,924,562,988,607
54,30,2,truck,838,528,900,597
55,31,1,car,925,561,989,606
56,31,2,truck,843,528,903,595
57,32,1,car,925,561,990,606
58,33,1,car,926,560,989,604
59,34,1,car,929,561,992,605
60,35,1,car,931,562,992,605
61,36,1,car,931,561,992,604
62,37,1,car,932,558,993,601
63,38,1,car,934,558,994,600
64,39,1,car,934,558,992,599
65,40,1,car,935,559,991,597
66,41,1,car,934,558,990,596
67,42,1,car,934,558,989,595
68,43,1,car,932,559,985,594
69,44,1,car,933,557,987,593
70,45,1,car,931,557,985,593
71,46,1,car,931,557,984,593
72,47,1,car,933,559,982,592
73,48,1,car,932,559,981,591
74,49,1,car,931,558,981,591
75,50,1,car,930,558,980,591
76,51,1,car,932,557,980,590
77,52,1,car,932,557,979,590
78,53,1,car,929,555,979,589
79,54,1,car,929,555,978,589
80,56,1,car,929,554,976,587
81,57,1,car,929,554,975,587
