,time,id,class,region1x,region1y,region2x,region2y
0,3,1,bus,346,474,720,799
1,3,2,car,891,579,1023,682
2,4,1,bus,352,475,723,797
3,4,2,car,892,578,1020,679
4,5,1,bus,356,473,726,795
5,5,2,car,896,579,1016,673
6,6,1,bus,363,475,728,793
7,6,2,car,901,584,1010,670
8,7,1,bus,367,473,727,787
9,7,2,car,902,585,1006,667
10,8,1,bus,376,476,731,785
11,8,2,car,906,575,1014,659
12,9,1,bus,384,479,733,784
13,9,2,car,907,574,1009,653
14,10,1,bus,388,480,739,786
15,10,2,car,904,569,1011,652
16,11,1,bus,396,481,740,782
17,11,2,car,909,569,1011,648
18,12,1,bus,404,482,741,778
19,12,2,car,910,568,1011,645
20,12,6,truck,402,481,744,779
21,13,1,bus,409,481,744,775
22,13,2,car,915,570,1008,641
23,13,6,truck,406,482,745,777
24,14,1,bus,415,482,744,771
25,14,2,car,916,569,1006,638
26,15,1,bus,421,484,742,767
27,15,2,car,914,569,1002,637
28,16,1,bus,425,485,744,766
29,16,2,car,914,566,1001,633
30,17,1,bus,428,485,744,763
31,17,2,car,914,566,998,630
32,18,1,bus,433,484,751,764
33,18,2,car,915,567,996,628
34,18,6,truck,429,482,758,770
35,19,1,bus,436,485,754,765
36,19,2,car,916,567,995,627
37,19,6,truck,433,483,759,771
38,20,1,bus,441,486,756,763
39,20,2,car,916,567,994,626
40,20,6,truck,436,484,758,769
41,21,2,car,917,566,993,623
42,21,6,truck,443,486,754,760
43,22,1,bus,443,486,757,763
44,22,2,car,919,565,993,621
45,22,6,truck,446,487,753,756
46,23,1,bus,447,486,759,761
47,23,2,car,921,566,991,618
48,23,6,truck,452,488,755,753
49,24,2,car,921,566,991,617
50,24,6,truck,456,487,760,754
51,25,2,car,922,565,990,615
52,25,6,truck,459,486,763,753
53,26,2,car,922,565,990,614
54,26,6,truck,463,485,765,752
55,27,2,car,923,564,990,612
56,27,6,truck,463,484,767,754
57,28,1,bus,469,485,771,754
58,28,2,car,923,563,989,610
59,28,6,truck,469,484,769,754
60,29,1,bus,473,485,773,753
61,29,2,car,924,563,989,609
62,29,6,truck,474,485,772,754
63,30,2,car,923,563,988,608
64,30,6,truck,481,485,774,753
65,31,2,car,923,561,988,606
66,31,6,truck,488,485,777,750
67,32,2,car,924,561,988,606
68,32,6,truck,493,485,778,749
69,33,2,car,924,561,989,606
70,33,6,truck,499,487,779,748
71,34,2,car,927,561,991,605
72,34,6,truck,503,488,781,749
73,35,2,car,930,562,992,605
74,35,6,truck,508,488,784,748
75,36,1,bus,507,486,791,745
76,36,2,car,931,561,993,604
77,36,6,truck,513,486,786,746
78,37,1,bus,517,491,784,736
79,37,2,car,931,558,993,602
80,37,6,truck,519,487,786,742
81,38,1,bus,520,489,787,736
82,38,2,car,933,558,993,600
83,38,6,truck,523,487,785,738
84,39,1,bus,523,489,788,737
85,39,2,car,933,558,993,598
86,39,6,truck,526,488,786,738
87,40,1,bus,529,493,785,733
88,40,2,car,936,560,990,597
89,40,6,truck,528,487,788,740
90,41,1,bus,533,493,787,731
91,41,2,car,934,559,989,596
92,41,6,truck,533,487,789,737
93,42,1,bus,530,489,793,739
94,42,2,car,934,559,989,595
95,42,6,truck,534,488,790,740
96,43,1,bus,533,488,794,738
97,43,2,car,931,558,986,594
98,43,6,truck,537,488,791,739
99,44,1,bus,538,490,791,736
100,44,2,car,932,557,987,593
101,44,6,truck,540,490,788,736
102,45,1,bus,541,490,793,735
103,45,2,car,932,558,984,593
104,45,6,truck,543,490,788,734
105,46,2,car,931,558,984,593
106,46,6,truck,547,493,787,733
107,47,2,car,933,559,983,592
108,47,6,truck,549,493,788,733
109,48,1,bus,555,498,787,724
110,48,2,car,932,559,981,591
111,48,6,truck,552,493,788,730
112,49,1,bus,558,499,788,722
113,49,2,car,931,559,980,591
114,49,6,truck,554,492,787,727
115,50,2,car,930,557,980,591
116,50,6,truck,555,493,787,727
117,51,2,car,931,557,980,590
118,51,6,truck,558,495,785,723
119,52,2,car,931,556,979,590
120,52,6,truck,560,494,786,721
121,53,2,car,931,556,978,589
122,53,6,truck,566,499,784,716
123,54,2,car,931,556,978,588
124,54,6,truck,565,496,787,718
125,55,2,car,931,555,978,588
126,55,6,truck,566,496,790,719
127,56,2,car,930,555,977,587
128,56,6,truck,567,495,791,719
129,57,2,car,930,555,976,587
130,57,6,truck,569,495,792,718
131,58,2,car,930,555,976,587
132,58,6,truck,570,495,794,717
133,59,6,truck,574,495,795,714
134,60,1,bus,594,516,788,699
135,60,6,truck,578,498,794,712
136,61,1,bus,594,515,793,698
137,61,6,truck,582,498,798,713
138,62,1,bus,589,508,799,704
139,62,6,truck,585,499,799,711
140,63,1,bus,589,505,801,705
141,64,1,bus,593,504,803,702
142,64,6,truck,597,503,799,703
143,65,1,bus,594,503,804,702
144,65,6,truck,600,504,799,701
145,66,1,bus,594,500,811,705
146,67,1,bus,598,502,809,702
147,67,6,truck,603,504,803,701
148,68,1,bus,602,504,809,700
149,68,6,truck,605,502,810,704
150,69,1,bus,604,503,810,699
151,69,6,truck,610,504,810,700
152,70,6,truck,612,505,808,697
153,71,6,truck,615,505,812,698
154,72,6,truck,617,505,813,696
155,73,6,truck,618,505,813,696
156,74,1,bus,616,506,815,696
157,74,6,truck,619,506,813,696
158,75,1,bus,618,506,817,696
159,75,6,truck,620,507,814,696
160,76,1,bus,619,507,817,696
161,76,6,truck,622,507,814,696
162,77,1,bus,620,505,817,696
163,77,6,truck,622,506,814,695
164,78,1,bus,621,506,815,695
165,78,6,truck,622,506,814,695
166,79,1,bus,622,506,816,694
167,79,6,truck,624,506,814,694
168,80,6,truck,626,504,814,691
169,81,1,bus,626,504,818,692
170,81,6,truck,628,504,815,691
171,82,1,bus,628,505,818,691
172,82,6,truck,630,505,816,691
173,83,1,bus,630,505,819,691
174,83,6,truck,632,505,816,689
175,84,6,truck,632,505,815,688
176,85,6,truck,635,505,815,688
177,86,1,bus,635,505,818,687
178,86,6,truck,636,505,815,687
179,87,1,bus,636,505,818,686
180,87,6,truck,637,506,815,686
181,88,6,truck,640,506,815,683
182,89,6,truck,643,506,816,682
183,90,1,bus,642,506,819,683
184,90,6,truck,644,506,817,683
185,91,1,bus,643,506,820,683
186,91,6,truck,647,507,817,680
187,92,6,truck,647,507,818,681
188,93,6,truck,650,507,818,680
189,94,6,truck,651,507,818,677
190,95,6,truck,657,507,823,676
191,96,6,truck,660,507,825,675
192,97,6,truck,662,508,826,675
193,98,6,truck,665,508,827,674
194,99,6,truck,667,509,829,674
195,100,6,truck,670,509,831,674
