,time,id,class,region1x,region1y,region2x,region2y
0,3,2,car,891,579,1023,683
1,3,3,truck,341,470,725,803
2,4,2,car,893,578,1020,679
3,4,3,truck,345,470,729,803
4,5,2,car,896,579,1015,673
5,5,3,truck,353,471,728,797
6,6,2,car,901,584,1010,670
7,6,3,truck,358,472,729,795
8,7,2,car,905,587,1006,667
9,7,3,truck,365,472,728,790
10,8,2,car,905,579,1007,658
11,8,3,truck,376,476,733,788
12,9,2,car,906,575,1007,653
13,9,3,truck,382,478,737,788
14,9,6,car,1727,625,1848,852
15,10,2,car,904,570,1010,652
16,10,3,truck,389,480,741,788
17,10,6,car,1696,614,1817,828
18,11,2,car,909,570,1011,648
19,11,3,truck,396,481,744,785
20,11,6,car,1651,607,1770,800
21,11,7,bus,399,482,738,784
22,12,2,car,908,569,1007,644
23,12,3,truck,402,481,746,782
24,12,6,car,1592,602,1712,780
25,12,7,bus,406,482,739,779
26,13,2,car,913,570,1006,640
27,13,3,truck,408,482,748,780
28,13,6,car,1537,595,1661,765
29,13,7,bus,410,482,740,776
30,14,2,car,915,570,1005,638
31,14,3,truck,413,481,746,774
32,14,6,car,1494,591,1617,748
33,14,7,bus,415,481,742,773
34,15,2,car,915,569,1002,636
35,15,3,truck,418,482,748,772
36,15,6,car,1452,588,1572,731
37,15,7,bus,421,483,741,768
38,16,2,car,914,566,1001,632
39,16,6,car,1418,585,1537,721
40,16,7,bus,426,484,742,766
41,17,2,car,914,566,999,630
42,17,3,truck,431,482,755,767
43,17,6,car,1387,585,1501,708
44,17,7,bus,430,482,751,769
45,18,2,car,915,566,997,628
46,18,3,truck,437,482,757,765
47,18,6,car,1360,583,1472,698
48,18,7,bus,430,485,746,767
49,19,2,car,916,567,996,627
50,19,6,car,1336,579,1449,691
51,19,7,bus,435,484,753,769
52,20,2,car,916,567,995,626
53,20,6,car,1316,578,1428,684
54,20,7,bus,440,486,753,766
55,21,2,car,918,566,993,623
56,21,6,car,1295,574,1407,678
57,21,7,bus,444,487,751,760
58,22,2,car,920,566,992,620
59,22,3,truck,446,486,754,757
60,22,6,car,1278,573,1388,672
61,22,7,bus,447,487,752,757
62,23,2,car,921,566,991,618
63,23,3,truck,450,487,756,755
64,23,6,car,1261,570,1370,667
65,23,7,bus,451,489,753,755
66,24,2,car,921,566,991,617
67,24,3,truck,454,486,761,757
68,24,6,car,1247,569,1351,660
69,24,7,bus,455,487,759,756
70,24,9,car,1661,685,1890,1080
71,25,2,car,921,565,991,616
72,25,3,truck,460,486,762,755
73,25,6,car,1235,569,1337,656
74,25,7,bus,459,487,760,754
75,25,9,car,1622,663,1868,1080
76,26,2,car,923,565,991,614
77,26,3,truck,465,487,763,753
78,26,6,car,1226,569,1324,651
79,26,9,car,1590,644,1853,1079
80,27,2,car,922,564,991,613
81,27,3,truck,466,485,765,754
82,27,6,car,1218,568,1312,645
83,27,9,car,1560,636,1838,1078
84,28,2,car,924,563,989,610
85,28,3,truck,471,485,768,754
86,28,6,car,1210,567,1302,641
87,28,7,bus,470,485,770,754
88,28,9,car,1537,627,1831,1079
89,29,2,car,924,563,989,609
90,29,3,truck,481,489,766,748
91,29,6,car,1202,566,1292,638
92,29,7,bus,476,486,772,755
93,29,9,car,1512,620,1824,1079
94,30,2,car,923,563,988,608
95,30,3,truck,487,489,767,745
96,30,6,car,1195,566,1279,632
97,30,7,bus,482,484,775,753
98,30,9,car,1488,614,1816,1074
99,31,2,car,923,561,988,606
100,31,3,truck,492,490,769,743
101,31,6,car,1187,565,1269,629
102,31,7,bus,488,484,776,751
103,31,9,car,1466,604,1804,1050
104,32,2,car,924,560,989,606
105,32,6,car,1179,564,1262,628
106,32,7,bus,494,486,777,750
107,32,9,car,1458,602,1800,1026
108,33,2,car,924,561,989,606
109,33,6,car,1175,563,1256,626
110,33,7,bus,500,488,778,749
111,33,9,car,1446,603,1787,993
112,34,2,car,928,561,992,605
113,34,6,car,1168,564,1247,625
114,34,7,bus,504,488,780,749
115,34,9,car,1422,601,1760,963
116,35,2,car,931,562,992,604
117,35,6,car,1163,564,1240,623
118,35,7,bus,509,488,782,748
119,35,9,car,1392,596,1727,936
120,36,2,car,930,557,995,603
121,36,3,truck,516,494,778,734
122,36,6,car,1159,564,1234,620
123,36,7,bus,515,487,784,745
124,36,9,car,1358,589,1698,919
125,37,2,car,931,557,994,601
126,37,3,truck,519,494,780,733
127,37,6,car,1151,561,1227,618
