,time,id,class,region1x,region1y,region2x,region2y
0,3,1,bus,211,461,682,851
1,3,2,car,903,583,1018,671
2,4,1,bus,168,454,666,867
3,4,2,car,905,575,1018,662
4,5,1,bus,109,446,653,896
5,5,2,car,905,572,1011,653
6,6,1,bus,45,442,631,926
7,6,2,car,907,569,1008,646
8,7,1,bus,-10,428,634,962
9,7,2,car,910,570,1003,642
10,8,1,bus,-66,407,662,1019
11,8,2,car,911,570,1000,638
12,9,1,bus,-103,392,674,1058
13,9,2,car,912,566,1000,633
14,10,1,bus,-123,385,671,1081
15,10,2,car,918,566,1000,628
16,11,1,bus,-144,356,671,1090
17,11,2,car,918,566,997,625
18,12,1,bus,-155,340,655,1093
19,12,2,car,924,566,996,620
20,13,1,bus,-161,335,627,1093
21,13,2,car,928,565,993,613
22,14,1,bus,-161,347,585,1092
23,14,2,car,929,564,993,611
24,15,1,bus,-171,338,551,1091
25,15,2,car,929,563,992,608
26,16,1,bus,-181,339,504,1090
27,16,2,car,932,562,990,604
28,17,1,bus,-214,331,492,1106
29,17,2,car,930,561,990,604
30,18,2,car,932,559,989,600
31,20,2,car,929,560,981,597
32,21,2,car,928,559,982,597
33,22,2,car,929,559,980,595
34,23,2,car,928,558,979,594
35,24,2,car,930,559,978,592
36,25,2,car,931,558,978,591
37,26,2,car,931,558,978,590
38,27,2,car,932,557,979,589
39,28,2,car,932,557,979,589
40,29,2,car,933,556,979,587
41,31,2,car,933,554,979,585
42,32,2,car,934,553,978,584
