,time,id,class,region1x,region1y,region2x,region2y
0,3,1,bus,344,473,721,800
1,3,2,car,892,579,1022,682
2,4,1,bus,351,474,723,797
3,4,2,car,893,577,1020,678
4,5,1,bus,354,472,728,797
5,5,2,car,896,578,1016,673
6,6,1,bus,362,474,729,793
7,6,2,car,903,588,1007,669
8,7,1,bus,366,475,727,789
9,7,2,car,905,589,1003,666
10,8,1,bus,374,477,733,789
11,8,2,car,908,577,1012,658
12,9,1,bus,382,479,734,785
13,9,2,car,908,576,1008,653
14,10,1,bus,388,480,738,785
15,10,2,car,904,570,1010,652
16,11,1,bus,394,481,742,785
17,11,2,car,908,569,1011,648
18,12,1,bus,403,482,745,781
19,12,2,car,908,568,1007,644
20,12,6,truck,401,482,743,780
21,13,1,bus,410,479,740,768
22,13,2,car,913,570,1006,641
23,13,6,truck,406,482,743,776
24,14,1,bus,416,480,742,764
25,14,2,car,913,567,1009,640
26,14,6,truck,409,480,744,772
27,15,2,car,914,569,1003,637
28,15,6,truck,417,483,743,768
29,16,2,car,913,566,1001,633
30,16,6,truck,422,483,744,765
31,17,2,car,914,566,998,630
32,17,6,truck,425,484,745,764
33,18,2,car,915,566,996,627
34,18,6,truck,432,485,751,763
35,19,1,bus,433,483,759,770
36,19,2,car,916,567,996,627
37,19,6,truck,435,485,754,764
38,20,1,bus,436,484,759,770
39,20,2,car,917,567,995,626
40,20,6,truck,440,486,756,762
41,21,1,bus,442,486,754,760
42,21,2,car,918,566,993,623
43,22,1,bus,444,486,756,762
44,22,2,car,920,566,992,620
45,22,6,truck,445,487,754,756
46,23,1,bus,449,487,757,760
47,23,2,car,920,566,991,618
48,23,6,truck,449,489,755,754
49,24,2,car,921,565,991,617
50,24,6,truck,455,487,761,754
51,25,2,car,922,565,990,615
52,25,6,truck,458,487,763,754
53,26,2,car,923,565,990,614
54,26,6,truck,462,487,764,752
55,27,2,car,923,565,990,612
56,27,6,truck,462,486,766,754
57,28,1,bus,468,484,771,756
58,28,2,car,923,563,989,610
59,28,6,truck,471,487,767,750
60,29,1,bus,475,484,773,755
61,29,2,car,924,563,988,609
62,29,6,truck,475,485,773,753
63,30,1,bus,482,485,775,754
64,30,2,car,923,563,988,608
65,30,6,truck,480,485,776,753
66,31,1,bus,487,485,777,752
67,31,2,car,923,561,989,607
68,31,6,truck,487,485,777,750
69,32,2,car,924,560,989,606
70,32,6,truck,492,485,779,749
71,33,2,car,924,561,989,606
72,33,6,truck,498,487,780,749
73,34,2,car,928,561,992,605
74,34,6,truck,502,488,782,749
75,35,2,car,930,562,992,604
76,35,6,truck,508,488,784,747
77,36,1,bus,511,485,788,746
78,36,2,car,930,557,996,603
79,36,6,truck,513,486,786,746
80,37,1,bus,518,491,781,737
81,37,2,car,931,556,995,601
82,37,6,truck,517,487,786,743
83,38,1,bus,521,488,785,737
84,38,2,car,933,557,994,599
85,38,6,truck,521,487,788,742
86,39,1,bus,523,486,787,738
87,39,2,car,933,557,993,598
88,39,6,truck,523,486,787,740
89,40,1,bus,525,487,787,739
90,40,2,car,935,559,990,597
91,40,6,truck,526,486,787,740
92,41,1,bus,532,488,787,736
93,41,2,car,934,559,989,596
94,41,6,truck,532,488,787,736
95,42,1,bus,531,486,789,739
96,42,2,car,934,558,989,595
97,42,6,truck,531,486,788,739
98,43,1,bus,534,487,788,738
99,43,2,car,934,557,989,594
100,43,6,truck,534,487,788,738
101,44,1,bus,537,487,790,737
102,44,2,car,933,557,988,593
103,44,6,truck,537,489,787,737
104,45,2,car,932,558,985,593
105,45,6,truck,540,489,787,736
106,46,2,car,932,559,983,593
107,46,6,truck,544,492,786,734
108,47,2,car,933,560,982,592
109,47,6,truck,547,493,787,734
110,48,2,car,932,560,981,591
111,48,6,truck,549,491,788,733
112,49,2,car,931,559,980,591
113,49,6,truck,552,492,786,729
114,50,2,car,931,558,980,591
115,50,6,truck,555,493,786,727
116,51,2,car,931,558,979,590
117,51,6,truck,558,495,786,725
118,52,2,car,930,556,979,590
119,52,6,truck,559,494,784,720
120,53,2,car,930,556,979,589
121,53,6,truck,558,493,785,721
122,54,2,car,930,556,978,589
123,54,6,truck,562,494,787,721
124,55,6,truck,563,494,788,720
125,56,1,bus,577,507,786,710
126,56,2,car,929,555,976,587
127,56,6,truck,570,499,786,716
128,57,1,bus,581,508,786,708
129,57,2,car,930,554,977,587
130,57,6,truck,570,497,791,717
131,58,2,car,930,554,976,586
132,58,6,truck,571,495,793,717
133,59,1,bus,575,496,798,714
134,59,2,car,933,554,978,586
135,59,6,truck,580,500,792,711
136,60,1,bus,585,509,793,705
137,60,2,car,933,554,978,586
138,60,6,truck,579,499,793,713
139,61,1,bus,591,514,791,699
140,61,6,truck,581,500,796,712
141,62,1,bus,588,507,796,702
142,62,6,truck,586,500,798,710
143,63,1,bus,591,508,797,700
144,63,6,truck,590,500,802,711
145,64,1,bus,589,504,801,702
146,64,6,truck,593,502,799,705
147,65,1,bus,593,504,803,701
148,65,6,truck,597,503,800,703
149,66,1,bus,594,503,805,702
150,67,1,bus,597,503,808,702
151,67,6,truck,600,500,810,706
152,68,1,bus,601,504,808,700
153,68,6,truck,605,503,807,701
154,69,1,bus,603,504,809,699
155,69,6,truck,608,504,808,700
156,70,1,bus,607,504,810,698
157,71,1,bus,611,504,814,697
158,72,1,bus,613,505,815,697
159,73,1,bus,615,505,815,696
160,74,1,bus,616,505,816,696
161,75,1,bus,617,505,816,696
162,76,1,bus,618,506,815,695
163,77,1,bus,619,505,816,696
164,77,6,truck,620,505,814,696
165,78,1,bus,620,506,816,695
166,78,6,truck,622,506,814,695
167,79,1,bus,622,506,817,695
168,79,6,truck,622,506,813,695
169,80,6,truck,624,505,812,693
170,81,1,bus,624,505,816,692
171,81,6,truck,626,505,813,692
172,82,1,bus,626,505,817,691
173,82,6,truck,629,504,815,691
174,83,6,truck,631,506,815,690
175,84,1,bus,629,505,816,689
176,84,6,truck,632,506,814,689
177,85,1,bus,632,506,817,688
178,85,6,truck,634,506,814,688
179,86,1,bus,633,506,815,687
180,86,6,truck,635,506,813,686
181,87,1,bus,634,507,815,686
