,time,id,class,region1x,region1y,region2x,region2y
0,3,1,bus,344,474,720,800
1,3,2,car,891,578,1023,682
2,4,1,bus,351,474,723,797
3,4,2,car,893,579,1020,679
4,5,1,bus,354,472,728,797
5,5,2,car,896,578,1016,673
6,6,1,bus,362,474,729,793
7,6,2,car,902,587,1008,669
8,7,1,bus,367,475,727,789
9,7,2,car,904,588,1003,666
10,8,1,bus,374,477,733,789
11,8,2,car,908,577,1012,658
12,9,1,bus,382,478,737,787
13,9,2,car,908,576,1009,653
14,10,1,bus,389,479,741,786
15,10,2,car,904,570,1010,652
16,10,5,bus,390,480,737,786
17,11,1,bus,394,480,743,785
18,11,2,car,909,569,1011,648
19,11,5,bus,396,480,742,787
20,12,1,bus,403,481,745,781
21,12,2,car,908,568,1007,644
22,12,5,bus,405,482,741,780
23,13,1,bus,410,479,741,768
24,13,2,car,913,570,1006,641
25,13,5,bus,409,482,742,776
26,14,1,bus,416,479,742,764
27,14,2,car,914,567,1009,640
28,14,5,bus,413,480,743,772
29,15,2,car,914,569,1003,636
30,15,5,bus,420,483,742,768
31,16,2,car,914,567,1001,633
32,16,5,bus,425,483,743,765
33,17,2,car,914,566,998,630
34,17,5,bus,427,484,744,764
35,18,2,car,915,566,997,627
36,18,5,bus,433,484,750,764
37,19,1,bus,432,483,759,770
38,19,2,car,916,567,996,627
39,19,5,bus,437,485,753,764
40,20,1,bus,436,484,759,769
41,20,2,car,917,567,994,625
42,20,5,bus,442,486,755,762
43,20,8,car,1746,626,1887,900
44,21,1,bus,442,486,754,760
45,21,2,car,918,566,993,622
46,21,8,car,1736,626,1866,872
47,22,1,bus,445,486,757,762
48,22,2,car,920,566,992,620
49,22,5,bus,449,488,752,755
50,22,8,car,1722,625,1850,853
51,23,1,bus,449,487,758,760
52,23,2,car,920,566,991,618
53,23,5,bus,451,489,754,754
54,23,8,car,1710,618,1839,833
55,24,2,car,922,566,991,617
56,24,5,bus,456,487,760,754
57,24,8,car,1697,615,1825,807
58,24,9,car,1658,688,1895,1079
59,25,2,car,922,566,990,615
60,25,5,bus,458,486,762,754
61,25,8,car,1688,614,1813,779
62,25,9,car,1617,671,1870,1079
63,26,2,car,923,565,990,614
64,26,5,bus,463,486,764,753
65,26,8,car,1667,615,1793,761
66,26,9,car,1585,651,1855,1077
67,27,2,car,923,565,990,612
68,27,5,bus,464,484,766,754
69,27,8,car,1637,611,1771,749
70,27,9,car,1554,628,1848,1079
71,28,1,bus,469,484,772,755
72,28,2,car,924,563,989,610
73,28,5,bus,473,487,766,750
74,28,8,car,1609,608,1742,731
75,28,9,car,1529,616,1841,1079
76,29,1,bus,476,485,774,755
77,29,2,car,924,563,989,609
78,29,5,bus,477,486,772,753
79,29,8,car,1598,606,1715,714
80,29,9,car,1505,614,1830,1079
81,30,1,bus,482,485,774,753
82,30,2,car,923,563,988,608
83,30,5,bus,482,485,775,752
84,30,9,car,1477,600,1825,1077
85,31,1,bus,487,485,777,752
86,31,2,car,922,560,989,607
87,31,5,bus,489,485,777,749
88,31,9,car,1457,591,1814,1056
89,32,2,car,923,560,989,606
90,32,5,bus,493,486,777,748
91,32,9,car,1448,589,1810,1036
92,33,2,car,923,560,990,606
93,33,5,bus,498,487,779,749
94,33,9,car,1446,593,1797,996
